trip_days,miles,receipts,expected_output,predicted,residual,cluster,miles_per_day,receipts_per_day,receipt_coverage
3,93.0,1.42,364.51,558.338,-193.82799999999997,4,31.0,0.47333333333333333,256.69718309859155
1,55.0,3.6,126.06,441.28999999999996,-315.22999999999996,0,55.0,3.6,35.016666666666666
1,47.0,17.97,128.91,352.09799999999996,-223.18799999999996,0,47.0,17.97,7.173622704507513
2,13.0,4.67,203.52,472.60799999999995,-269.08799999999997,0,6.5,2.335,43.58029978586724
3,88.0,5.78,380.37,556.108,-175.73799999999994,0,29.333333333333332,1.9266666666666667,65.80795847750865
1,76.0,13.74,158.35,361.648,-203.29800000000003,0,76.0,13.74,11.524745269286754
3,41.0,4.52,320.12,535.146,-215.02599999999995,0,13.666666666666666,1.5066666666666666,70.82300884955752
1,140.0,22.71,199.68,397.368,-197.688,0,140.0,22.71,8.792602377807134
3,121.0,21.17,464.07,487.76199999999994,-23.69199999999995,0,40.333333333333336,7.0566666666666675,21.921114785073215
3,117.0,21.99,359.1,248.18334,110.91666000000004,0,39.0,7.329999999999999,16.330150068212827
2,202.0,21.24,356.17,473.89399999999995,-117.72399999999993,0,101.0,10.62,16.76883239171375
3,80.0,21.05,366.87,469.37999999999994,-102.50999999999993,0,26.666666666666668,7.016666666666667,17.42850356294537
2,21.0,20.04,204.58,392.2079999999999,-187.6279999999999,0,10.5,10.02,10.208582834331338
3,177.0,18.73,430.86,510.78599999999994,-79.92599999999993,0,59.0,6.243333333333333,23.003737319807794
1,141.0,10.15,195.14,387.766,-192.62600000000003,0,141.0,10.15,19.225615763546795
1,58.0,5.86,117.24,442.628,-325.388,0,58.0,5.86,20.00682593856655
1,133.0,8.34,179.06,476.078,-297.018,0,133.0,8.34,21.47002398081535
1,59.0,8.31,120.65,443.074,-322.424,0,59.0,8.31,14.518652226233453
2,89.0,13.85,234.2,417.58399999999995,-183.38399999999996,0,44.5,6.925,16.90974729241877
2,147.0,17.43,325.56,446.316,-120.75599999999997,0,73.5,8.715,18.67814113597246
5,130.0,306.9,574.1,692.4827,-118.3827,0,26.0,61.379999999999995,1.8706419028999677
5,173.0,1337.9,1443.96,1106.5337,337.4263000000001,0,34.6,267.58000000000004,1.0792734883025636
5,592.0,433.75,869.0,947.11825,-78.11824999999999,5,118.4,86.75,2.003458213256484
5,679.0,476.08,1030.41,1002.13264,28.277360000000044,5,135.8,95.216,2.1643631322466814
5,708.0,1129.52,1654.62,1265.33416,389.2858399999998,5,141.6,225.904,1.4648877399249238
5,261.0,464.94,621.12,811.43802,-190.31802000000005,0,52.2,92.988,1.3359143115240677
5,794.0,511.0,1139.94,1066.797,73.14300000000003,5,158.8,102.2,2.230802348336595
5,521.0,1448.55,1624.01,1304.12065,319.8893499999999,3,104.2,289.71,1.1211280245763005
5,595.0,863.93,1231.67,1113.21519,118.45481000000018,5,119.0,172.786,1.4256594863009737
5,811.0,952.39,1608.6,1243.43137,365.1686299999999,5,162.2,190.478,1.6890139543674334
5,477.0,704.42,1045.96,999.49486,46.46514000000002,0,95.4,140.884,1.4848527866897592
5,730.0,485.73,991.49,1028.57459,-37.084589999999935,5,146.0,97.146,2.0412369011590803
5,262.0,1173.79,1485.59,1083.37357,402.21642999999995,0,52.4,234.75799999999998,1.2656352499169357
5,446.0,219.98,788.62,800.12834,-11.508339999999976,0,89.2,43.995999999999995,3.584962269297209
5,751.0,407.43,1063.46,1007.9516900000001,55.50830999999994,5,150.2,81.486,2.610166163512751
5,324.0,128.94,686.54,710.84802,-24.308020000000056,0,64.8,25.788,5.324492011788428
5,414.0,967.0,1368.94,1071.9650000000001,296.9749999999999,0,82.8,193.4,1.4156566701137538
5,367.0,290.78,742.25,792.01074,-49.760740000000055,0,73.4,58.15599999999999,2.5526170988376093
5,764.0,848.75,1468.46,1182.7752500000001,285.6847499999999,5,152.8,169.75,1.7301443298969073
5,249.0,873.75,1185.24,962.66025,222.57975,0,49.8,174.75,1.3564978540772532
8,862.0,1817.85,1719.37,1747.79855,-28.428550000000087,2,107.75,227.23125,0.945826113265671
11,927.0,1994.33,1779.12,1994.53039,-215.41039,2,84.27272727272727,181.30272727272725,0.8920890725205959
9,602.0,186.69,1085.4,1057.15427,28.245730000000094,0,66.88888888888889,20.743333333333332,5.813916117628154
8,610.0,208.29,841.27,1018.9450699999999,-177.6750699999999,0,76.25,26.03625,4.038936098708532
12,333.0,1103.21,1618.13,1438.35743,179.7725700000001,0,27.75,91.93416666666667,1.4667470381885588
8,435.0,1129.65,1525.26,1293.77595,231.48405000000002,0,54.375,141.20625,1.3502058159606958
9,218.0,1203.45,1561.63,1275.30935,286.3206500000001,0,24.22222222222222,133.71666666666667,1.2976276538285763
12,781.0,1159.18,1752.72,1659.60194,93.11806000000001,2,65.08333333333333,96.59833333333334,1.5120343691230007
11,916.0,1036.91,2098.07,1622.93253,475.1374700000001,2,83.27272727272727,94.26454545454546,2.0233867934536267
10,358.0,2066.62,1624.11,1718.39346,-94.2834600000001,2,35.8,206.66199999999998,0.7858774230385848
12,566.0,2013.7,1752.03,1890.9931,-138.96309999999994,2,47.166666666666664,167.80833333333334,0.8700551224114813
9,954.0,1483.39,2024.2,1710.78237,313.41763000000014,2,106.0,164.82111111111112,1.3645770835720883
9,534.0,1929.94,1624.87,1694.49102,-69.62102000000004,2,59.333333333333336,214.4377777777778,0.8419277283231602
12,765.0,1343.97,1953.03,1723.24051,229.7894899999999,2,63.75,111.9975,1.4531797584767516
8,630.0,967.69,1388.05,1318.71527,69.33473000000004,0,78.75,120.96125,1.4343953125484399
10,909.0,696.0,1505.19,1439.192,65.99800000000005,5,90.9,69.6,2.1626293103448275
10,223.0,745.89,1037.45,1152.34387,-114.89386999999988,0,22.3,74.589,1.390888736945126
8,467.0,1178.71,1483.33,1326.83793,156.49207,0,58.375,147.33875,1.2584350688464507
9,708.0,461.07,1110.6,1209.5178099999998,-98.91780999999992,5,78.66666666666667,51.23,2.4087448760491896
9,885.0,1764.97,1694.37,1787.85351,-93.48351000000002,2,98.33333333333333,196.10777777777778,0.959999320101758
6,855.0,591.35,1339.72,1174.8270499999999,164.89295000000016,5,142.5,98.55833333333334,2.26552802908599
2,993.0,54.24,715.19,830.4619199999999,-115.2719199999998,5,496.5,27.12,13.185656342182892
5,685.0,747.14,1216.36,1108.62462,107.73537999999985,5,137.0,149.428,1.62802152207083
3,981.0,341.45,813.95,985.16135,-171.21134999999992,5,327.0,113.81666666666666,2.3838043637428616
5,770.0,873.33,1502.49,1194.8653900000002,307.62460999999985,5,154.0,174.666,1.7204149634158907
6,697.0,651.64,1237.71,1127.45012,110.25988000000007,5,116.16666666666667,108.60666666666667,1.8993769566018048
3,795.0,450.85,743.94,944.10555,-200.16554999999994,5,265.0,150.28333333333333,1.6500831762226904
3,606.0,1184.23,1364.54,1140.69609,223.84391000000005,3,202.0,394.74333333333334,1.152259273958606
3,842.0,865.37,1251.14,1123.82871,127.3112900000001,5,280.6666666666667,288.45666666666665,1.4457861955001907
7,748.0,241.73,971.31,1043.2505899999999,-71.94058999999993,5,106.85714285714286,34.53285714285714,4.018160757870351
7,624.0,148.16,905.79,952.10928,-46.31928000000005,5,89.14285714285714,21.165714285714284,6.113593412526998
2,713.0,740.33,1048.28,968.35439,79.92561,3,356.5,370.165,1.4159631515675442
3,874.0,1191.4,1515.99,1262.9702,253.01980000000003,3,291.3333333333333,397.1333333333334,1.2724441833137485
6,761.0,530.19,1120.1,1109.47877,10.621229999999969,5,126.83333333333333,88.36500000000001,2.1126388653124346
1,815.0,97.89,539.36,717.74187,-178.38186999999994,5,815.0,97.89,5.5098580038819085
1,601.0,497.7,644.12,775.4251,-131.30510000000004,3,601.0,497.7,1.294193289129998
7,817.0,1127.87,1809.91,1413.4162099999999,396.4937900000002,5,116.71428571428571,161.1242857142857,1.6047150824119802
1,606.0,923.0,1050.05,940.5450000000001,109.50499999999988,1,606.0,923.0,1.1376489707475623
1,909.0,741.82,866.07,1006.29106,-140.22105999999997,1,909.0,741.82,1.1674934620258284
3,624.0,1160.92,1459.34,1139.79636,319.54363999999987,3,208.0,386.97333333333336,1.2570547496812872
4,650.0,619.49,676.38,347.9261345,328.4538655,5,162.5,154.8725,1.0918336050622286
6,204.0,818.99,628.4,495.55025670000003,132.84974329999994,0,34.0,136.49833333333333,0.7672865358551386
1,263.0,396.49,198.42,205.0697845,-6.64978450000001,5,263.0,396.49,0.5004413730485006
1,451.0,555.49,162.18,255.73053449999995,-93.55053449999994,5,451.0,555.49,0.29195845109722945
10,424.0,474.99,831.96,580.4999367,251.4600633,0,42.4,47.499,1.7515316111918147
2,565.0,389.49,415.96,268.79113449999994,147.16886550000004,5,282.5,194.745,1.067960666512619
9,397.0,348.49,913.29,359.6927845,553.5972155,0,44.111111111111114,38.721111111111114,2.6207064765129555
1,532.0,413.99,355.57,363.42098669999996,-7.8509866999999645,5,532.0,413.99,0.8588854803256117
2,384.0,495.49,290.36,254.74633449999996,35.61366550000005,5,192.0,247.745,0.5860057720640175
5,754.0,489.99,765.13,530.8641867000001,234.26581329999988,5,150.8,97.998,1.5615216637074225
1,344.46,813.85,707.88,782.09371,-74.21370999999999,3,344.46,813.85,0.8697917306628985
3,906.3,540.03,848.42,1027.90129,-179.48129000000006,5,302.09999999999997,180.01,1.571060866988871
3,1007.56,187.52,764.64,938.0519199999999,-173.4119199999999,5,335.8533333333333,62.50666666666667,4.077645051194539
1,359.62,221.15,255.57,561.8509700000001,-306.2809700000001,5,359.62,221.15,1.155640967669003
1,362.79,749.19,636.51,765.5041100000001,-128.9941100000001,3,362.79,749.19,0.8495975653706002
1,288.72,159.26,303.94,506.52570000000003,-202.58570000000003,5,288.72,159.26,1.9084515885972624
2,782.17,830.72,1165.44,1033.82358,131.61642000000006,3,391.085,415.36,1.4029275808936825
2,623.18,347.54,625.15,777.8561,-152.7061,5,311.59,173.77,1.798785751280428
