expected_output,trip_days,miles,receipts,predicted,error,abs_error,pct_error
322.0,4,69.0,2321.49,1550.0,1228.0,1228.0,381.3664596273291
361.66,1,276.85,485.54,1350.0,988.34,988.34,273.2787701155781
402.81,1,214.0,540.03,1350.0,947.19,947.19,235.14560214493184
448.34,1,432.0,581.71,1350.0,901.66,901.66,201.11076415220597
636.19,1,264.39,758.27,1350.0,713.81,713.81,112.20075763529762
636.51,1,362.79,749.19,1350.0,713.49,713.49,112.09407550549088
1809.91,7,817.0,1127.87,1100.0,-709.9100000000001,709.9100000000001,39.22349730097076
1796.7,5,873.0,1584.53,1100.0,-696.7,696.7,38.77664607335672
1777.14,5,763.0,1420.94,1100.0,-677.1400000000001,677.1400000000001,38.10279437748292
1771.8,6,811.0,1252.04,1100.0,-671.8,671.8,37.91624336832599
1765.79,6,835.0,1404.28,1100.0,-665.79,665.79,37.70493660061502
1964.86,9,913.0,1021.29,1300.0,-664.8599999999999,664.8599999999999,33.83752531987012
255.57,1,359.62,221.15,900.0,644.4300000000001,644.4300000000001,252.15400868646557
707.88,1,344.46,813.85,1350.0,642.12,642.12,90.7102898796406
1724.68,5,654.0,1272.89,1100.0,-624.6800000000001,624.6800000000001,36.22005241552056
282.89,1,452.0,275.05,900.0,617.11,617.11,218.14486196047935
737.28,1,458.0,834.7,1350.0,612.72,612.72,83.10546875000001
738.01,1,257.97,816.81,1350.0,611.99,611.99,82.92435061855531
741.46,1,388.1,827.37,1350.0,608.54,608.54,82.07320691608447
1704.06,6,818.0,1130.38,1100.0,-604.06,604.06,35.44828233747638
303.94,1,288.72,159.26,900.0,596.06,596.06,196.1110745541883
913.29,9,397.0,348.49,324.767765,-588.5222349999999,588.5222349999999,64.43979842109296
2337.73,14,1020.0,1201.75,1750.0,-587.73,587.73,25.141055639445103
1686.98,5,716.0,1316.6,1100.0,-586.98,586.98,34.79472192912779
1676.79,5,873.0,1402.35,1100.0,-576.79,576.79,34.39846373129611
1676.48,5,840.0,941.55,1100.0,-576.48,576.48,34.38633326970796
1871.76,6,924.0,1227.21,1300.0,-571.76,571.76,30.54665128007864
332.06,1,388.0,390.7,900.0,567.94,567.94,171.03535505631513
1666.52,2,1189.0,1164.74,1100.0,-566.52,566.52,33.994191488851015
1865.67,10,1026.0,828.82,1300.0,-565.6700000000001,565.6700000000001,30.319938681546045
539.36,1,815.0,97.89,1100.0,560.64,560.64,103.94541679026996
1654.62,5,708.0,1129.52,1100.0,-554.6199999999999,554.6199999999999,33.51947879271373
2248.12,9,1155.0,1346.4,1700.0,-548.1199999999999,548.1199999999999,24.381260786790737
1840.75,8,1182.0,990.07,1300.0,-540.75,540.75,29.37661279369822
363.02,1,292.0,449.83,900.0,536.98,536.98,147.9202247810038
570.71,1,893.0,19.76,1100.0,529.29,529.29,92.7423735347199
1827.44,8,1142.0,776.74,1300.0,-527.44,527.44,28.86223350698245
1416.98,3,718.0,1158.02,900.0,-516.98,516.98,36.48463633925673
1077.12,11,816.0,544.99,561.0,-516.1199999999999,516.1199999999999,47.916666666666664
589.11,1,1092.0,390.55,1100.0,510.89,510.89,86.72234387465838
1608.6,5,811.0,952.39,1100.0,-508.5999999999999,508.5999999999999,31.617555638443363
1807.42,6,1043.0,1404.35,1300.0,-507.4200000000001,507.4200000000001,28.074271613681383
1606.63,8,836.0,735.52,1100.0,-506.6300000000001,506.6300000000001,31.533707200786743
1803.97,6,1006.0,1219.71,1300.0,-503.97,503.97,27.936717351175467
